word,meaning
strive,努力する；争う
pollen,花粉
trace,（足跡・起源など）をたどる；を捜し出す
complicate,を複雑にする
punctual,時間を守る
pledge,を誓う，約束する；を与えることを約束する
worthwhile,価値がある；立派な
classify,を分類する；を機密扱いにする
portion,部分；1人前；割り当て
legacy,遺産
congress,（米国などの）議会；会議
inherent,生来の，本来的に備わっている
noble,高貴な；堂々とした；高潔な
attorney,【米】 弁護士；代理人
grasp,"を握る, つかむ"
commute,通勤［通学］する
deaf,耳が聞こえない（≒ hard of hearing）
nod,うなずく；会釈する；うとうとする
grind,（穀物など）をひく
humble,謙虚な；質素な；身分が低い
refuge,避難（所）；保護
negotiate,交渉する；を（交渉して）取り決める
combine,を（～と）結び付ける（with）；（～と）結び付く（with）
abandon,を捨てる；を放棄する，断念する
assure,に自信を持って言う；を保証する
stir,をかき回す；を揺り動かす
sacred,神聖な（≒holy）；宗教的な；厳粛な
ubiquitous,至る所にある
sheer,純然たる，真の；すごい；（布が）薄地の
epidemic,流行（病）；蔓延
console,を慰める
sweep,"を掃く, 掃除する"
conservation,（動植物などの）保護；保存
revive,"を蘇生させる, …の息を吹き返させる; …を元気づかせる, 回復させる"
hostile,敵意のある（⇔friendly 友好的な）
eloquent,雄弁な；説得力のある
arbitrary,恣意的な；独断的な
conscious,意識して，気づいて（≒ aware）
quest,探究
dizzy,目まいがする；当惑した
virtue,美徳（⇔vice 悪）；長所；効能
sphere,領域；球体；天体
province,州，省；〔the ～s〕地方；分野
govern,（を）統治する、支配する
vague,漠然とした，あいまいな；おぼろげな
glow,光り［照り］輝く；赤く燃える；紅潮する
assemble,を集める；を組み立てる；集まる
hive,ミツバチの巣（箱）；人の集まる所
collapse,"崩れ落ちる, 倒壊する, 崩壊する"
betray,をうっかり表す；を裏切る
frighten,（人）を怖がらせる
regulate,を規制する；を調整する
queue,【英】（順番を待つ）列
cite,を引き合いに出す；を引用する
merge,（を）合併する；を融合させる；溶け込む
strip,を裸にする; を脱ぐ; 服を脱がされる
irrigation,灌漑
oblige,に義務づける；に恩恵を施す
divide,を分ける；分かれる
district,地区；行政区
plight,窮状（＝ predicament）；（悪い）状態
tame,飼いならされた，人に慣れた；退屈な
formula,方法，解決策；公式
endure,に耐える（≒ put up with）；（に）持ちこたえる
ambiguous,あいまいな；多義的な
moderate,適度な；穏健な
devote,"AをBにささげる, 向ける; AをBに割く, 当てる"
utility,公共事業；公共料金；実用性
authentic,本物の；信頼できる
emerge,"現れる, 出てくる"
bless,に恩恵を与える；に感謝する
asteroid,小惑星（≒ minor planet）；ヒトデ（＝ starfish）
straightforward,単純な；率直な
cherish,を大切にする；を心に抱く
embark,（～に）乗り出す（on）；乗船［搭乗］する
furious,激怒した；猛烈な
suspect,ではないかと思う；（人）を疑う
elaborate,入念な；凝った
radiation,放射能，放射線
omit,を除外する; あえて省く; うっかり落とす
underlie,の根底にある
nourish,に栄養を与える；をはぐくむ
persist,続く；固執する
empirical,経験的な；経験主義の
pursue,を追求する; を続行する; に従う
divine,神の；神にささげる
plunge,（～に）（を）突っ込む（into）；没頭する；陥る
convert,"を変える, 転換する; 改造する, 改築する"
startle,をびっくりさせる（≒ surprise）
prevail,普及している；支配的である；（～に）打ち勝つ（over）
recruit,"を規に採用する, 受け入れる"
retrieve,（情報）を検索する；を取り戻す；を回復する
glance,（～を）ちらっと見ること（at）
mourn,"を悲しむ, 嘆く; の死を悼む, を追悼する"
monk,修道士，僧（⇔ nun 修道女，尼）
indispensable,不可欠な（⇔ dispensable なくてもすむ）
rhetoric,修辞（法）；美辞麗句
perish,"非業の死を遂げる, 惨死する"
vain,無駄な；うぬぼれた
expel,を追放する；を吐き出す
designate,を指定する；を任命する
dense,密集した，密度の高い；（霧などが）濃い
quote,を引用する; の言葉を引用する; を口頭で言う; …と引用して言う
distort,を歪める；歪む
monopoly,独占（権）
collective,集団の，共同の
arithmetic,計算；算数
corrupt,を堕落させる；を買収する；堕落する
recite,を暗唱する；を詳述する
vertical,垂直の（⇔ horizontal 水平な）；縦方向の
fiber,繊維（質）；本質；精神力
metaphor,隠喩；比喩
recipient,受け取る人；（臓器などの）被提供者
mutual,相互の；共通の
particular,特定の；特別の；（～について）やかましい（about）
dim,薄暗い；ぼんやりした
primitive,原始的な；未開の
irrelevant,（～にとって）無関係の（to）；見当違いの
frustrate,をいら立たせる；（計画・希望など）を挫折させる
neutral,中立の；（特徴・表情などが）はっきりしない
implicit,暗黙の（⇔ explicit ⇒ 1598）；内在する
census,国勢調査；交通調査
solid,しっかりした；硬い；固体の
predecessor,前任者（⇔ successor 後継者）；前のもの
certificate,証明書；免許状
boundary,境界（線）；〔通例～ries〕限界
bow,おじぎする；屈服する
conspicuous,目立つ
juvenile,青少年の
margin,余白；差；利ざや
nurture,をはぐくむ；を養成する
beverage,（水以外の）飲み物，飲料
declare,を宣言する；を申告する
motive,動機
encounter,"に直面する, 遭う"
rub,（を）こする；（～に）を塗る（on / over）
ridiculous,ばかげた；法外な
realm,領域；領土
drought,干ばつ；（慢性的な）不足
assert,を主張する
immense,膨大な
sewage,下水
burden,負担；（重い）義務；積み荷
limb,手足
decent,まずまずの；きちんとした；上品な
comprehend,を理解する
roar,うなる，ほえる；大笑いする
utilize,を利用する（≒ make use of）
stumble,よろけながら歩く；（～に）つまずく（on / over）
exert,を及ぼす；（力など）を行使する
profile,人物の紹介；横顔；輪郭
feast,祝宴；大ごちそう；楽しみ
insurance,保険；保険料；保険金
astonish,を驚かす
structure,構造；体系；構造物
curse,悪態，ののしりの言葉；呪い；〔通例a ～〕災い
spectator,（試合などの）観客
lean,傾く；寄りかかる；をもたせかける
rational,理性的な；合理的な
fallacy,誤った考え，誤信；錯誤
diminish,を減らす；減少する（≒decrease）
compulsory,義務的な，強制的な（⇔ voluntary ⇒ 1199）
incident,出来事，事件；紛争
peculiar,特有の；特異な
worsen,を悪化させる；悪化する（≒ deteriorate）
aspire,（～を）熱望する（to）
deposit,を置く；を預ける；を堆積させる
stubborn,頑固な，強情な（≒ obstinate）；手に負えない
dignity,尊厳；威厳
index,指標；索引；指数
nursery,託児所；苗床
yell,叫ぶ，どなる
enforce,を施行［実施］する；を（～に）強制する（on / upon）
nutrition,栄養（の摂取）
cognitive,認知の
rebel,反逆者
prolong,を引き伸ばす; を延長する
contend,と主張する；競う
spatial,空間の
boast,を誇る；（を）自慢する
relieve,"を取り除く, 和らげる; を紛らわす"
fragment,断片
frontier,〔通例the ～s〕最先端；〔the ～〕 【米】辺境地；国境
suppress,を抑える；を抑圧する
dye,を染める；染まる
legitimate,合法的な；妥当な
conceive,（を）思いつく；と想像する；（を）妊娠する
utter,（声）を発する；（考えなど）を述べる
adolescent,青年；青年期の
exceed,を超える；に勝る
guarantee,"を保証する, 確約する; を確実にもたらす; の保証人になる; の担保になる"
prairie,大草原
tease,（を）からかう；をいじめる
prestige,名声；〔形容詞的に〕名声のある
circulation,循環；流通；（聞・雑誌の）発行部数
enthusiasm,（～への）熱情，熱意（for）
speculate,（と）推測する；投機する
controversy,論争
drown,溺死する；を水浸しにする
dissolve,（を）溶かす；（議会など）を解散する；（契約など）を解消する；溶ける
render,を（ある状態に）する；（援助など）を与える
molecule,分子；微粒子
rejoice,"喜ぶ; …して喜ぶ, 歓喜する, うれしがる"
surrender,を放棄する，引き渡す；（～に）屈する（to）
architecture,建築；建築様式；構造
wisdom,知恵；賢明さ；学識
notorious,悪名高い（≒ infamous）
funeral,葬式
scenery,〔集合的に〕景色；背景
parliament,（英国などの）議会；国会議員（団）
frown,眉をひそめる
proceed,進む，進行する；（～を）続行する（with）
prospect,見込み；〔～s〕（未来への）展望；有望な人
diligent,勤勉な；入念な
ruin,をだめにする；を破滅させる；破滅する
erupt,（火山が）噴火する；勃発する
condemn,を非難する；〔受身形で〕（～の刑を）宣告される（to）
grief,深い悲しみ
gaze,じっと見る
thorough,徹底的な；まったくの
steep,（傾斜が）急な；急激な；法外な
derive,由来する；を引き出す；を推論する
incentive,動機（づけ）；報奨金
disgust,をむかつかせる；に愛想を尽かせる
punish,を罰する；に損傷を与える
pesticide,殺虫剤；除草剤（≒herbicide）
tremendous,途方もない、莫大な；すばらしい
privilege,特権，特典
appetite,食欲；欲求
geometry,幾何学
rage,激怒；猛威
fertile,肥沃な（⇔ barren 不毛の）；多産の
pedestrian,歩行者
chronic,慢性の（⇔ acute ⇒ 1486）；長引く；常習の
retail,小売り（⇔ wholesale 卸売り）
vessel,船舶；容器；（体液が通る）脈管
plausible,もっともらしい
luxury,ぜいたく（品）；〔形容詞的に〕豪華な
disrupt,を混乱させる；を分裂させる
orphan,孤児
theft,窃盗（罪）
superstition,迷信
deceive,をだます（≒ take in）
postpone,を延期する（≒ put off）
halt,を止める；止まる
ample,十分すぎるほどの；広い
perpetual,永続的な；ひっきりなしの
scheme,計画（≒plan）；体系；陰謀
fasten,"を留める, 締める, 結ぶ"
deficit,赤字，不足；欠陥
stain,を汚す；に着色する
usage,（使）用法；語法；習慣
mutation,突然変異（体）；変化
diplomacy,外交（的手腕）
enormous,莫大な，巨大な
commerce,商業；貿易
famine,飢饉；（食糧・物資の）ひどい不足
resign,（を）辞任する；を放棄する
assign,を割り当てる；を（～に）配属する（to）
mere,単なる，ほんの
ease,を軽減する；和らぐ；緩む
stern,厳しい；いかめしい
bulk,〔the ～〕（～の）大半（of）；大きさ；大量
detect,を感知する；を見つけ出す；に気づく
altitude,高度，標高
spoil,を台無しにする；を甘やかす；だめになる
shield,盾，防御物
current,現在の；現代の；通用している
exhaust,を疲れ果てさせる；を使い尽くす；排気する
deprive,から（権利などを）奪う
immune,（～に対して）免疫を持つ（to）；（～を）免れた（from）
dismiss,（意見など）を退ける；を解雇する
reluctant,気が進まない，嫌がる（⇔ willing ⇒ 298）
assault,に暴行する；を攻撃する
seize,をつかむ；を奪い取る；を没収する
investigate,を調査する；を究明する；（～を）調査する（into）
hierarchy,（社会の）階層制；〔the ～〕支配層
fade,薄れる；衰える
explicit,明白な（⇔ implicit ⇒ 1795）；率直な
convey,を伝える；を運ぶ，運搬する
sensible,賢明な；実用的な；顕著な
secure,を確保する；を守る
forecast,を予想［予測］する
script,台本；筆跡
sibling,きょうだい（の1人）
doctrine,教義；【米】（政策上の）主義
cease,をやめる；終わる
intimate,親密な；密接な
sacrifice,犠牲；いけにえ
enrich,を豊かにする；（物質）を濃縮化する
swear,（～を）ののしる（at）；（を）誓う（≒ vow）
medieval,中世の；時代遅れの
fulfill,を実現させる；を果たす；を満たす
crisis,危機
absurd,ばかげた；不合理な
sob,"むせび泣く, 泣きじゃくる, 嗚咽する"
wound,（銃弾・刃物などによる）傷；痛手
entitle,に権利を与える；に題名をつける
restrain,を制止する；を規制する
compensate,補償する（≒ make up）；に償う
clue,（～の）手がかり（to / about）；（パズルの）ヒント
courtesy,礼儀正しさ；好意；優遇
delight,を喜ばせる；（～を）大いに喜ぶ（in）
merchandise,商品
subsequent,その後の
sprawl,（都市などが）不規則に広がる；だらしなく手足を伸ばす
register,を記録する，登録する；（～に）登録する（for）
mortal,致命的な（≒ fatal）；死すべき（運命の）（⇔ immortal 不死の）
soak,を浸す；をずぶぬれにする；浸る
poll,世論調査；投票（数）
scatter,をまき散らす；分散する
plain,明らかな；平易な；飾りのない；率直な
awful,ひどい；嫌な；ものすごい
revenue,歳入（⇔ expenditure 歳出）；収益
eclipse,（日食・月食などの）食；（名声などの）失墜
cynical,冷笑的な，皮肉な
dimension,側面，局面；次元；寸法
weave,を織る；（計画・物語など）を作り上げる
starve,飢える；（～を）渇望する（for）；を飢えさせる
attain,を獲得する，達成する；に達する
awkward,気まずい；ぎこちない；厄介な
gear,用具（一式），器具；歯車；ギア
fetch,を（行って）持って［連れて］くる
sole,唯一の；単独の；独占的な
examine,を調べる；を診察する；を尋問する
expire,期限が切れる
capture,をとらえる；をとりこにする
dispute,に異議を唱える；（を）議論する
indifferent,無関心な（≒uninterested）
embarrass,に恥ずかしい思いをさせる
foster,をはぐくむ；を養育する；を心に抱く
define,を定義する；を明確にする
eternal,永遠の；不変の
infer,を推論する，推測する
penetrate,（に）浸透する；（に）進出する；（を）貫く；（を）見抜く
shed,を捨て去る；（光など）を放つ；（涙・血）を流す
likewise,同様に（≒ in the same way）
prejudice,（～に対する）偏見（against）（≒ bias）
candidate,（～の）候補（者）（for）；志願者
recession,不況；後退
solitude,ひとりでいること；孤独
inspect,を点検する；を視察する
profound,重大な；深い；難解な
monetary,金銭的な；金融の
reinforce,を強化する；を補強する
particle,（微）粒子；ほんのわずか
rigid,厳しい；硬直した
specimen,標本；実例
innocent,無罪の（⇔guilty 有罪の）；無邪気な；無知の
narrative,物語、話；（小説の）叙述部分、地の文
prohibit,を禁止する
vanish,消える（≒ disappear）
confront,に立ち向かう；（困難などが）に立ちはだかる
dedicate,をささげる；を献呈する
divert,（注意など）をそらす；を迂回させる；（資金など）を転用する
soar,急上昇する；空高く飛ぶ
possess,を所有している；の心をとらえる
dare,あえて［思い切って］...する
opponent,（試合・論争などの）相手；反対者
modest,謙虚な（≒ humble）；適度な；質素な
pierce,"を刺す, 貫く, 突き通す, …に穴をあける"
precede,に先行する；に優先する
astronomy,天文学
reception,反応；宴会；受付；受信（状態）
criterion,（判断・評価の）基準
obstacle,（～に対する）障害（物）（to）
remedy,治療（法）；治療薬；解決法
ingredient,材料，成分；（成功の）要因
vocational,職業の，職業訓練の（ための）
keen,熱心な；鋭敏な；（感情・関心などが）強い
obese,肥満した
ultimate,究極の
retain,を保持する；を覚えている
reckless,無謀な；（～を）顧みない（of）
supervisor,監督者；指導教員
roam,（を）歩き回る；放浪する
spouse,配偶者
textile,織物；繊維（産業）
intermediate,中級の；中間の
crude,大まかな；粗野な；未精製の
undermine,を徐々にむしばむ；を侵食する
cast,を投じる；に役を当てる
bribe,賄賂
drastic,徹底的な，抜本的な；極端な
determine,を決定する；を正確に知る
chase,（を）追跡する；（を）追求する
retreat,後退，退却；（計画・決定などの）撤回
circumstance,〔通例～s〕状況，事情；境遇
converse,（～と）会話をする（with）
embrace,を受け入れる；（を）抱擁する；を包含する
