word,meaning,last_time,interval
rough,粗い；大まかな；乱暴な,1785786306.2531466,0
bug,病原菌（が起こす病気）；虫；盗聴器；（機械・プログラムの）欠陥,1785776798.8842194,128
commit,〔commit oneselfまたは受身形で〕献身する；（罪など）を犯す；を投入する,1785785780.924809,2
ruin,をだめにする；を破滅させる；破滅する,1785784444.309247,8
favor,に賛成する；を好む；をひいきする,1785776802.9339995,128
relax,くつろぐ；緩む；をくつろがせる；を緩める,1785778208.4439797,64
linguistic,言語の，言語学の,1785778211.4889112,64
loan,貸付金，融資；貸すこと,1785776806.3585782,128
bear,に耐える（≒ endure ⇒ 824）；を負う；を産む；を（心に）抱く,1785776810.9264472,128
physician,【主に米】 医師（≒ doctor）；内科医,1785778215.305101,64
recall,を思い出す；を呼び戻す,1785785783.8303797,2
literary,文学の；文語の（⇔ colloquial 口語体の）,1785776813.7701852,128
typical,典型的な；（～に）特有の（of）,1785776816.7278397,128
replace,に取って代わる；を取り替える,1785776820.7498343,128
welfare,福祉，幸福,1785776129.9362981,256
overall,総合的な；全体的な,1785778220.6475532,64
erupt,（火山が）噴火する；勃発する,1785778225.6955967,64
reform,を改革する；を改心させる,1785776824.8593297,128
economy,経済（状態）；経済圏；節約,1785776837.8624058,128
flow,流れる；（～から）生じる（from）,1785778229.88246,64
ecology,生態学；生態系；環境保護,1785776132.7329693,256
condemn,を非難する；〔受身形で〕（～の刑を）宣告される（to）,1785782395.715622,16
witness,目撃者（≒ eyewitness）；証人；証拠，証言,1785776841.9411883,128
symmetry,（左右）対称（⇔ asymmetry 非対称）；調和,1785776846.0210402,128
depend,頼る；～次第である,1785778233.5156834,64
patient,忍耐強い；勤勉な,1785776851.4874184,128
prairie,大草原,1785780504.4342802,32
instrument,器具；楽器（≒ musical instrument）,1785775877.8233366,512
emerge,現れる；明らかになる；台頭する,1785775769.080586,1024
distract,（注意など）をそらす,1785778251.5869312,64
protest,（に）抗議する；を主張する,1785776855.744577,128
grief,深い悲しみ,1785776136.139014,256
reflect,を反映する；（を）反射する；（を）熟考する,1785776142.597935,256
commerce,商業；貿易,1785780510.1450238,32
gaze,じっと見る,1785778256.833243,64
mean,を意味する；（...する）つもりである（to do）,1785778260.5700257,64
thorough,徹底的な；まったくの,1785784449.7759595,8
victim,犠牲（者），被害者,1785776859.2474716,128
steep,（傾斜が）急な；急激な；法外な,1785782404.81115,16
derive,由来する；を引き出す；を推論する,1785776863.4470975,128
devote,をささげる,1785776146.683755,256
indifferent,無関心な（≒uninterested）,1785778265.7654626,64
suggest,を提案する；を暗示する,1785776152.073853,256
active,積極的な；活動的な；効力のある,1785778269.7800481,64
intake,摂取量；受け入れ数；取り入れること,1785776866.796468,128
incentive,動機（づけ）；報奨金,1785785787.5378582,2
disgust,をむかつかせる；に愛想を尽かせる,1785784454.6957335,8
punish,を罰する；に損傷を与える,1785928222.0257328,2
pesticide,殺虫剤；除草剤（≒herbicide）,1785928230.291254,1
ethnic,民族の，人種の；民族特有の,1785778282.6984723,64
tremendous,途方もない、莫大な；すばらしい,1785778289.2983925,64
chew,（を）かむ；をかみ砕く,1785775697.0100718,2048
exclude,を除外する（⇔include を含む）,1785778293.2959569,64
textile,織物；繊維（産業）,1785782407.8990285,16
advantage,利点；優勢；有利,1785776870.801406,128
consequence,〔通例～s〕結果；重大性,1785776160.9941854,256
artistic,芸術的な,1785776875.1383357,128
plain,明らかな；平易な；飾りのない；率直な,1785782412.5572102,16
privilege,特権，特典,1785784467.3914785,8
outbreak,発生，勃発,1785778300.6420143,64
display,を示す；を発揮する；を展示［陳列］する,1785778304.5995064,64
appetite,食欲；欲求,1785780514.4185123,32
excess,過剰，超過,1785776164.4154441,256
fluid,流動体，液体,1785778308.1882706,64
architecture,建築；建築様式；構造,1785778315.2372925,64
religion,宗教；信条；信仰（心）,1785775882.191456,512
embarrass,に恥ずかしい思いをさせる,1785776879.1877587,128
enthusiasm,（～への）熱情，熱意（for）,1785784473.4898908,8
presence,存在；出席；面前,1785782417.394068,16
certificate,証明書；免許状,1785784478.6967418,8
optimistic,楽観的な（⇔ pessimistic ⇒ 1593）,1785780520.1147835,32
analogy,類推；類似,1785782423.3059623,16
resident,居住者；滞在者,1785778318.7627864,64
confirm,を確認する；を裏づける,1785780523.9221466,32
blank,空白の；無表情な；がらんとした,1785776168.9327586,256
stem,（草木の）茎，幹,1785778331.5173073,64
interfere,干渉する，介入する；邪魔する,1785776174.3381445,256
foster,をはぐくむ；を養育する；を心に抱く,1785928242.4786577,2
define,を定義する；を明確にする,1785775662.950986,4096
pedestrian,歩行者,1785782429.4705184,16
perish,"""非業の死を遂げる, 惨死する""",1785784481.8347516,8
strict,（規則などが）厳しい；厳格な,1785776882.3458202,128
accidental,偶然の；過失による,1785778338.0943902,64
realm,領域；領土,1785776178.997089,256
discipline,規律，しつけ；訓練；懲戒；学問分野,1785778345.1872723,64
swing,を揺らす，振る；揺れる；（行動に）さっと移る,1785778349.2501655,64
eternal,永遠の；不変の,1785775895.9018145,512
examine,を調べる；を診察する；を尋問する,1785784491.2776165,8
domestic,家庭の；国内の；（動物が）飼いならされた,1785776182.178932,256
famine,飢饉；（食糧・物資の）ひどい不足,1785928251.5413394,2
surround,を取り巻く；にまつわる,1785778353.5609407,64
locate,〔受身形で〕位置する；の位置を探し当てる,1785776186.0168653,256
infer,を推論する，推測する,1785782434.1725295,16
protein,たんぱく質,1785776885.5774949,128
astonish,を驚かす,1785778359.4964426,64
recruit,を募る；に人を補充する,1785776190.1427262,256
insist,（を）強く主張する；要求する,1785778363.8277814,64
imitate,をまねる；を模造する,1785780531.875423,32
matter,事柄；問題；〔～s〕事態；〔the ～〕困難；物質,1785775899.3295674,512
